category	-log10(pvalue)	zscore	ratio	molecules	direction
Superpathway of Inositol Phosphate Compounds	0.299	-0.14	0.469	ATP1A1, ATP1A2, CA3, CDC25A, CDIPT, CILP, DUSP1, DUSP10, DUSP13, DUSP16, DUSP2, DUSP6, DUSP8, FIG4, HACD2, INPP5A, INPP5E, INPP5K, INPPL1, IP6K1, IP6K3, IPMK, MDP1, MTMR6, NOCT, NUDT12, NUDT14, NUDT4, NUDT9, PGAM5, PIK3CB, PIK3R1, PIK3R3, PIKFYVE, PLCD4, PLPP7, PPFIA1, PPFIBP2, PPIP5K1, PPM1J, PPP1R14C, PPP1R3A, PPP1R7, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, PPP3CA, PPP3CB, PPP3R1, PPP4C, PPP4R1, PPP5C, PRUNE1, PTPN11, PTPN12, RASA1, SIRPA, SOCS3, THTPA, WBP11		negative
P2Y Purigenic Receptor Signaling Pathway	0.294	-0.18	0.471	ADCY5, ADCY8, AKT1, AKT2, AKT3, ATF4, CREB3L2, GNAI2, GNB1, GNB2, GNG2, HRAS, JUN, KRAS, MAP2K1, MAPK3, MRAS, NFKB1, NRAS, PDIA3, PIK3CB, PIK3R1, PIK3R3, PLCD4, PRKACA, PRKAR1A, PRKAR2B, PRKCE, PRKCI, PRKCQ, RALA, RELA, RRAS		negative
BER (Base Excision Repair) Pathway	0.293	0.277	0.481	ARL6IP5, HUWE1, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAPK3, NEIL1, NF1, PCNA, POLB, RPA1, TP53		positive
BMP signaling pathway	0.292	-1.043	0.473	BMP8A, BMPR1B, BMPR2, FST, HRAS, JUN, KRAS, MAGED1, MAP2K1, MAPK12, MAPK14, MAPK3, MAPK8, MRAS, NFKB1, NOG, NRAS, PITX2, PRKACA, PRKAR1A, PRKAR2B, RALA, RELA, RRAS, SMAD4, ZNF423		negative
Growth Hormone Signaling	0.288	0.943	0.475	CEBPA, GHR, IRS1, MAPK3, PDPK1, PIK3CB, PIK3R1, PIK3R3, PRKCE, PRKCI, PRKCQ, RPS6KA2, RPS6KA5, SLC2A4, SOCS2, SOCS3, SOCS7, SRF, STAT3		positive
Role of p14/p19ARF in Tumor Suppression	0.286	-1.633	0.5	PIK3CB, PIK3R1, PIK3R3, SF3A1, TP53, UBTF		negative
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	0.285	-0.949	0.468	ATP1A1, ATP1A2, CA3, CDC25A, CILP, DUSP1, DUSP10, DUSP13, DUSP16, DUSP2, DUSP6, DUSP8, FIG4, HACD2, INPPL1, IPMK, MDP1, MTMR6, NOCT, NUDT12, NUDT14, NUDT4, NUDT9, PGAM5, PIKFYVE, PLPP7, PPFIA1, PPFIBP2, PPIP5K1, PPM1J, PPP1R14C, PPP1R3A, PPP1R7, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, PPP3CA, PPP3CB, PPP3R1, PPP4C, PPP4R1, PPP5C, PRUNE1, PTPN11, PTPN12, RASA1, SIRPA, SOCS3, THTPA, WBP11		negative
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	0.285	-0.949	0.468	ATP1A1, ATP1A2, CA3, CDC25A, CILP, DUSP1, DUSP10, DUSP13, DUSP16, DUSP2, DUSP6, DUSP8, FIG4, HACD2, INPPL1, IPMK, MDP1, MTMR6, NOCT, NUDT12, NUDT14, NUDT4, NUDT9, PGAM5, PIKFYVE, PLPP7, PPFIA1, PPFIBP2, PPIP5K1, PPM1J, PPP1R14C, PPP1R3A, PPP1R7, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, PPP3CA, PPP3CB, PPP3R1, PPP4C, PPP4R1, PPP5C, PRUNE1, PTPN11, PTPN12, RASA1, SIRPA, SOCS3, THTPA, WBP11		negative
Cyclins and Cell Cycle Regulation	0.285	0.243	0.472	CCND1, CCND3, CCNE2, CCNH, CDC25A, CDKN1A, CUL1, E2F6, HDAC11, HDAC2, HDAC4, HDAC5, HDAC6, HDAC9, PPM1J, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, RBL2, TGFB1, TGFB2, TGFB3, TP53, WEE1		positive
HER-2 Signaling in Breast Cancer	0.284	-0.525	0.467	AKT1, AKT1S1, AKT2, AKT3, BCL2L11, CASP3, CCND1, CCNE2, CDKN1A, COX5A, COX6A1, COX7A2, COX7B, Cox8b, EGFR, ELF1, ERBB2, ERBB3, ETS1, ETS2, FOXO1, HRAS, IKBKB, IKBKG, ITGB1, JUN, KPNB1, KRAS, MAP2K1, MAPK3, MRAS, MT-CO1, MTOR, NFKB1, NFKBIA, NFKBIB, NRAS, NUP205, NUP43, NUP58, NUP88, PARD6G, PDK1, PIK3CB, PIK3R1, PIK3R3, PRKCE, PRKCI, PRKCQ, PTGS2, RALA, RBL2, RELA, RPTOR, RRAS, SEC13, SEH1L, SMAD3, SMAD4, STAT3, TGFA, TP53, TSC1, TSC2		negative
MIF-mediated Glucocorticoid Regulation	0.283	1.155	0.48	CD14, CD74, MAPK3, NFKB1, NFKBIA, NFKBIB, PLA2G3, PLA2G4A, PLA2G4E, PTGS2, RELA, TLR4		positive
Th1 Pathway	0.278	1.706	0.471	APH1B, CD274, CD3G, CD80, HLA-A, IL12RB2, IL6, IL6R, IRF1, MAP2K6, NCSTN, NFATC1, NFATC2, NFIL3, NFKB1, NOTCH1, NOTCH3, PIK3CB, PIK3R1, PIK3R3, PRKCQ, PSEN1, SOCS3, STAT3		positive
Ethanol Degradation IV	0.271	1.342	0.5	ACSL1, ACSS1, ALDH1A1, ALDH3A2, Aldh3b2		positive
Isoleucine Degradation I	0.271	0	0.5	ACAA2, BCAT2, DLD, HADHA, HSD17B4		no direction
Adrenomedullin signaling pathway	0.271	0	0.466	ADCY5, ADCY8, AKT1, AKT2, AKT3, BAX, C3, Calm1 (includes others), CASP3, CFH, HRAS, IL33, ITPR2, KCNN3, KRAS, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAPK12, MAPK14, MAPK3, MAPK7, MAPK8, MRAS, MYLK, MYLK3, NFKB1, NPR3, NRAS, PDIA3, PIK3CB, PIK3R1, PIK3R3, PLCD4, PPARG, PRKACA, PRKAR1A, PRKAR2B, PRKG1, PTK2, RALA, RAMP3, RELA, RRAS, RXRG, SHE, TTN		no direction
VEGF Signaling	0.27	0.392	0.468	ACTA1, ACTA2, ACTB, ACTC1, ACTN2, ACTN4, AKT1, AKT2, AKT3, EIF2B2, EIF2B4, FOXO1, HRAS, KRAS, MAP2K1, MAPK3, MRAS, NRAS, PDGFC, PIK3CB, PIK3R1, PIK3R3, PTK2, PTPN11, RALA, ROCK1, RRAS, VCL, VEGFD		positive
Cellular Effects of Sildenafil (Viagra)	0.269	0	0.467	ACTA1, ACTA2, ACTB, ACTC1, ADCY5, ADCY8, CACNA1C, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, Calm1 (includes others), ITPR2, KCNN3, MPRIP, MYH1, MYH2, MYH3, MYH4, MYH8, MYH9, MYL1, MYL4, MYL9, MYLK, MYLPF, PABPC4, PDE1C, PDIA3, PLCD4, PRKACA, PRKAR1A, PRKAR2B, PRKG1		no direction
Xenobiotic Metabolism CAR Signaling Pathway	0.267	-0.469	0.466	ABCB1, ABCC3, ALDH1A1, ALDH1L1, ALDH3A2, CHST10, CHST3, DNAJC7, EGFR, FMO1, GSTM1, GSTM3, GSTM5, GSTO1, HS2ST1, HS3ST3A1, HS3ST5, HS6ST1, HSP90AA1, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAPK3, MED1, MGST3, NCOA1, NDST1, NDST4, PPARGC1A, PPM1J, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, PRKCE, PRKCI, PRKCQ, SNW1, SOD3, SRA1		negative
MSP-RON Signaling In Macrophages Pathway	0.265	0.218	0.468	ATF4, CREB3L2, GAB2, HRAS, IKBKB, IKBKG, JUN, KRAS, MAPK3, MRAS, NFKB1, NRAS, PIK3CB, PIK3R1, PIK3R3, PTGS2, RALA, RELA, RRAS, SOCS3, STAT3, TLR4		positive
Chondroitin Sulfate Biosynthesis (Late Stages)	0.262	-0.632	0.476	CHPF, CHST10, CHST3, CSGALNACT2, HS2ST1, HS3ST3A1, HS3ST5, HS6ST1, NDST1, NDST4		negative
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	0.251	0.816	0.474	APAF1, B2M, CASP3, CD3G, DFFA, FADD, FAS, HLA-A, MR1		positive
Assembly of RNA Polymerase III Complex	0.229	0	0.5	GTF3C2, GTF3C3, SF3A1		no direction
Chondroitin and Dermatan Biosynthesis	0.229	0	0.5	CHPF, CHPF2, CSGALNACT2		no direction
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	0.229	0	0.5	CCL5, IL17F, IL6		no direction
Extrinsic Prothrombin Activation Pathway	0.229	0	0.5	F2, F3, THBD		no direction
Glycogen Degradation III	0.229	0	0.5	GAA, PGM1, PYGM		no direction
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate)	0.229	0	0.5	ACAA2, GGPS1, HADHA		no direction
Pyrimidine Ribonucleotides De Novo Biosynthesis	0.224	0.816	0.467	CANT1, CMPK2, CTPS1, DDX3X, DHX29, DHX9, SLC25A42		positive
Pyrimidine Ribonucleotides Interconversion	0.224	0.816	0.467	CANT1, CMPK2, CTPS1, DDX3X, DHX29, DHX9, SLC25A42		positive
TCA Cycle II (Eukaryotic)	0.224	-1.134	0.467	DLD, DLST, FH, IDH3A, IDH3B, OGDH, SDHD		negative
Bile Acid Biosynthesis, Neutral Pathway	0.198	0	0.5	CYP27A1, SCP2		no direction
Glutathione Redox Reactions II	0.198	0	0.5	PDIA3, TXNDC12		no direction
Ketolysis	0.198	0	0.5	ACAA2, HADHA		no direction
Methylmalonyl Pathway	0.198	0	0.5	MMUT, PCCA		no direction
Pentose Phosphate Pathway	0.198	0	0.5	H6PD, TKT		no direction
Arginine Degradation I (Arginase Pathway)	0.146	0	0.5	OAT		no direction
Ascorbate Recycling (Cytosolic)	0.146	0	0.5	GSTO1		no direction
Aspartate Biosynthesis	0.146	0	0.5	GOT2		no direction
Dolichyl-diphosphooligosaccharide Biosynthesis	0.146	0	0.5	ALG5		no direction
Galactose Degradation I (Leloir Pathway)	0.146	0	0.5	GALM		no direction
Glutamate Degradation II	0.146	0	0.5	GOT2		no direction
Glycine Cleavage Complex	0.146	0	0.5	DLD		no direction
Hypusine Biosynthesis	0.146	0	0.5	DHPS		no direction
NAD Biosynthesis III	0.146	0	0.5	NAMPT		no direction
NAD Biosynthesis from 2-amino-3-carboxymuconate Semialdehyde	0.146	0	0.5	NADSYN1		no direction
NAD Salvage Pathway III	0.146	0	0.5	NMRK2		no direction
NAD biosynthesis II (from tryptophan)	0.146	0	0.5	NADSYN1		no direction
Palmitate Biosynthesis I (Animals)	0.146	0	0.5	CBR4		no direction
Proline Degradation	0.146	0	0.5	LOC102724788/PRODH		no direction
Putrescine Biosynthesis III	0.146	0	0.5	AZIN2		no direction
Pyruvate Fermentation to Lactate	0.146	0	0.5	LDHA		no direction
S-adenosyl-L-methionine Biosynthesis	0.146	0	0.5	MAT2A		no direction
Serotonin and Melatonin Biosynthesis	0.146	0	0.5	TPH1		no direction
Tetrahydrofolate Salvage from 5,10-methenyltetrahydrofolate	0.146	0	0.5	MTHFD1		no direction
Trans, trans-farnesyl Diphosphate Biosynthesis	0.146	0	0.5	GGPS1		no direction
Tyrosine Degradation I	0.146	0	0.5	TAT		no direction
Urea Cycle	0.146	0	0.5	ASL		no direction
1D-myo-inositol Hexakisphosphate Biosynthesis V (from Ins(1,3,4)P3)	0	0	0.333	IPMK		no direction
3-phosphoinositide Degradation	0	-0.905	0.458	ATP1A1, ATP1A2, CA3, CDC25A, CILP, DUSP1, DUSP10, DUSP13, DUSP16, DUSP2, DUSP6, DUSP8, FIG4, HACD2, INPP5E, INPP5K, INPPL1, MDP1, MTMR1, MTMR6, NOCT, NUDT12, NUDT14, NUDT4, NUDT9, PGAM5, PIKFYVE, PLPP7, PPFIA1, PPFIBP2, PPIP5K1, PPM1J, PPP1R14C, PPP1R3A, PPP1R7, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, PPP3CA, PPP3CB, PPP3R1, PPP4C, PPP4R1, PPP5C, PRUNE1, PTPMT1, PTPN11, PTPN12, RASA1, SIRPA, SOCS3, THTPA, WBP11		negative
Acetone Degradation I (to Methylglyoxal)	0	0	0.308	AKR1B10, CYP2U1, POR, PRXL2B		no direction
Acyl-CoA Hydrolysis	0	0	0.143	THEM4		no direction
Agranulocyte Adhesion and Diapedesis	0	0	0.349	ACTA1, ACTA2, ACTB, ACTC1, CCL5, Ccl7, CDH5, CXCL10, CXCL13, EZR, GLG1, GNAI2, IL1R1, IL33, ITGA3, ITGA6, ITGB1, MMP14, MYH1, MYH2, MYH3, MYH4, MYH8, MYH9, MYL1, MYL4, MYL9, RDX, SELP, VCAM1		no direction
Airway Inflammation in Asthma	0	0	0.455	IL17F, IL33, TGFB1, TGFB2, TGFB3		no direction
Airway Pathology in Chronic Obstructive Pulmonary Disease	0	0	0.436	FGF1, FGF12, FGF13, FGF16, FGF18, FGF2, FGF6, IL15, IL17F, IL33, IL6, LTB, RBP4, TGFB1, TGFB2, TGFB3, TNFSF12		no direction
Allograft Rejection Signaling	0	0	0.312	B2M, CD3G, CD80, FAS, HLA-A		no direction
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	0	0	0.463	CD3G, CD80, CXCL13, FAS, HLA-A, IL15, IL33, IL6, LTB, NFKB1, RELA, SPP1, TGFB1, TLR1, TLR4, TLR5, TLR6, TNFRSF13C, TRAF3		no direction
Androgen Biosynthesis	0	0	0.25	Gsta4		no direction
Antigen Presentation Pathway	0	0	0.444	B2M, CALR, CD74, HLA-A, MR1, PDIA3, TAP1, TAPBP		no direction
Antioxidant Action of Vitamin C	0	-0.447	0.426	CSF2RB, GSTO1, IKBKB, IKBKG, MAPK12, MAPK14, MAPK3, MAPK8, NFKB1, NFKBIA, NFKBIB, PDIA3, PLA2G3, PLA2G4A, PLA2G4E, PLA2R1, PLAAT3, PLB1, PLCD4, PNPLA8, PRDX6, RELA, SLC2A1, SLC2A4, SLC2A5, TXNRD1		negative
Antiproliferative Role of Somatostatin Receptor 2	0	-0.258	0.459	CDKN1A, GNB1, GNB2, GNG2, HRAS, KRAS, MAP2K1, MAPK3, MRAS, NPR3, NRAS, PIK3CB, PIK3R1, PIK3R3, PTPN11, RALA, RRAS		negative
Apelin Adipocyte Signaling Pathway	0	1.528	0.444	ADCY5, ADCY8, APLN, GNAI2, GPX3, Gsta4, GSTM1, LIPE, MAPK12, MAPK14, MAPK3, MAPK7, MAPK8, MGST3, PPARGC1A, PRDX6, PRKAA1, PRKAB1, PRKAB2, PRKACA, PRKAG3, PRKAR1A, PRKAR2B, PTGES		positive
Arsenate Detoxification I (Glutaredoxin)	0	0	0.333	GSTO1		no direction
Aspartate Degradation II	0	0	0.333	GOT2		no direction
Assembly of RNA Polymerase I Complex	0	0	0.4	TAF1B, UBTF		no direction
Assembly of RNA Polymerase II Complex	0	-0.632	0.435	CCNH, GTF2A1, GTF2E1, GTF2H2, GTF2H5, POLR2E, POLR2I, POLR2J, TAF12, TAF15		negative
Autoimmune Thyroid Disease Signaling	0	0	0.25	CD3G, CD80, FAS, HLA-A		no direction
B Cell Development	0	0	0.143	CD80, HLA-A		no direction
Basal Cell Carcinoma Signaling	0	0.378	0.429	BMP8A, CTNNB1, DVL3, FZD7, GLI3, STK36, SUFU, TP53, WNT9A		positive
Branched-chain α-keto acid Dehydrogenase Complex	0	0	0.25	DLD		no direction
Breast Cancer Regulation by Stathmin1	0	0.322	0.398	ADGRA3, ADGRG1, ADGRL3, ADRB2, ARHGEF1, ARHGEF12, ARHGEF17, ARHGEF9, ATF4, BDKRB2, CAMK2D, CAMK2G, CCND1, CCND3, CNR1, CREB3L2, CRHR2, CYSLTR1, E2F6, F2R, F2RL1, FGF2, FZD7, GNA13, GNB1, GNB2, GNG2, GPR155, GPR34, GPR37L1, GPRC5C, GPRC6A, HRAS, HTR1B, HTR2B, JUN, KRAS, LGR4, LPAR4, LPAR6, MAP2K1, MAPK3, MC5R, MRAS, MTOR, NFKB1, NPY1R, NRAS, PDGFB, PDGFC, PIK3CB, PIK3R1, PIK3R3, PPM1J, PPP1R14C, PPP1R3A, PPP1R7, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, PPP4C, PRKACA, PRKAR1A, PRKAR2B, PRKCE, PRKCI, PRKCQ, PTGER3, PTGER4, RALA, RB1CC1, RHOA, RLIM, RRAS, RXFP1, S1PR1, S1PR3, STAT3, TGFA, TGFB1, TGFB2, TP53, TUBA1A, TUBB, TUBB2B, TUBB6, TUBG1, UHMK1, VEGFD		positive
Bupropion Degradation	0	0	0.2	CYP2U1, POR		no direction
CCR3 Signaling in Eosinophils	0	0.447	0.452	Calm1 (includes others), CFL2, GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, HRAS, ITPR2, KRAS, MAP2K1, MAPK12, MAPK14, MAPK3, MPRIP, MRAS, MYLK, NRAS, PAK4, PIK3CB, PIK3R1, PIK3R3, PLA2G3, PLA2G4A, PLA2G4E, PRKCE, PRKCI, PRKCQ, RALA, RHOA, ROCK1, RRAS		positive
CCR5 Signaling in Macrophages	0	0.302	0.464	CACNA1C, CACNA1H, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, Calm1 (includes others), CCL5, CD3G, FAS, GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, ITPR2, JUN, MAPK12, MAPK14, MAPK8, MRAS, PRKCE, PRKCI, PRKCQ		positive
CDC42 Signaling	0	-1.279	0.44	ARPC1B, ARPC3, ARPC4, B2M, BAIAP2, CD3G, CFL2, CLIP1, EXOC1, EXOC6, HLA-A, ITGA10, ITGA11, ITGA3, ITGA6, ITGA7, ITGAV, ITGB1, JUN, MAPK12, MAPK14, MAPK8, MPRIP, MYL1, MYL4, MYL9, MYLK, MYLPF, PAK4, PRKCI, RALA, RASA1, WIPF1		negative
CMP-N-acetylneuraminate Biosynthesis I (Eukaryotes)	0	0	0.333	CMAS		no direction
CREB Signaling in Neurons	0	-1.222	0.385	ADCY5, ADCY8, ADGRA3, ADGRG1, ADGRL3, ADRB2, AKT1, AKT2, AKT3, ATF4, BDKRB2, BMPR1B, BMPR2, CACNA1C, CACNA1H, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, Calm1 (includes others), CAMK2D, CAMK2G, CNR1, CREB3L2, CRHR2, CYSLTR1, EGFR, F2R, F2RL1, FGF2, FGFR2, FZD7, GHR, GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, GPR155, GPR34, GPR37L1, GPRC5C, GPRC6A, GRIN1, GRIN2A, HRAS, HTR1B, HTR2B, INSR, ITPR2, KRAS, LGR4, LPAR4, LPAR6, MAP2K1, MAPK3, MC5R, MRAS, NGFR, NPY1R, NRAS, PDGFB, PDGFRA, PDIA3, PIK3CB, PIK3R1, PIK3R3, PLCD4, POLR2E, POLR2I, POLR2J, PRKACA, PRKAR1A, PRKAR2B, PRKCE, PRKCI, PRKCQ, PTGER3, PTGER4, RALA, RRAS, RXFP1, S1PR1, S1PR3, TGFA, TGFB1, TGFB2, TGFBR2		negative
CTLA4 Signaling in Cytotoxic T Lymphocytes	0	0	0.463	AKT1, AKT2, AKT3, AP1S2, AP2A2, B2M, CD3G, CD80, HLA-A, MR1, PIK3CB, PIK3R1, PIK3R3, PPM1J, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, PTPN11		no direction
Calcium-induced T Lymphocyte Apoptosis	0	-0.5	0.459	ATP2A1, ATP2A3, Calm1 (includes others), CAPN2, CD3G, CHP1, HDAC2, HLA-A, ITPR2, MEF2D, NFATC2, PPP3CA, PPP3CB, PPP3R1, PRKCE, PRKCI, PRKCQ		negative
Cardiac β-adrenergic Signaling	0	-0.626	0.4	ADCY5, ADCY8, AKAP1, AKAP11, AKAP13, AKAP6, ATP2A1, ATP2A3, CACNA1C, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, MRAS, PDE1C, PDE7A, PDE7B, PDE8A, PKIA, PPM1J, PPP1R14C, PPP1R3A, PPP1R7, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, PRKACA, PRKAR1A, PRKAR2B, SLC8A3		negative
Cardiomyocyte Differentiation via BMP Receptors	0	0	0.364	BMPR1B, BMPR2, MEF2C, SMAD4		no direction
Ceramide Biosynthesis	0	0	0.333	SPTLC2		no direction
Ceramide Degradation	0	0	0.333	ASAH2		no direction
Chemokine Signaling	0	-0.894	0.444	Calm1 (includes others), CAMK2D, CAMK2G, CCL5, GNAI2, HRAS, JUN, KRAS, MAP2K1, MAPK12, MAPK14, MAPK3, MAPK8, MPRIP, MRAS, NRAS, PTK2, RALA, RHOA, RRAS		negative
Choline Biosynthesis III	0	0	0.286	PCYT1A, PHKA1		no direction
Chondroitin Sulfate Biosynthesis	0	-0.905	0.423	CHPF, CHPF2, CHST10, CHST3, CSGALNACT2, HS2ST1, HS3ST3A1, HS3ST5, HS6ST1, NDST1, NDST4		negative
Circadian Rhythm Signaling	0	0	0.463	ADCY5, ADCY8, AKT1S1, ARNTL, ATF4, BDNF, BHLHE40, CACNA1C, CACNA1H, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, CAMK2D, CAMK2G, CIRBP, CREB3L2, CSNK1E, EIF4EBP1, EIF4EBP2, GNAI2, GNB1, GNB2, GNG2, GRIN1, GRIN2A, GRINA, H3-3A/H3-3B, HRAS, ITPR2, KRAS, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAPK3, MKNK1, MKNK2, MRAS, MTOR, NFIL3, NGFR, NPR3, NR1D1, NR1D2, NRAS, PDIA3, PER1, PLCD4, PRKAA1, PRKAB1, PRKAB2, PRKACA, PRKAG3, PRKAR1A, PRKAR2B, PRKCE, PRKCI, PRKCQ, PRKG1, RALA, RORA, RORB, RPS6KA5, RPTOR, RRAS, RYR1, RYR3		no direction
Citrulline-Nitric Oxide Cycle	0	0	0.333	ASL		no direction
Coagulation System	0	0	0.462	BDKRB2, F2, F2R, F3, PLAT, THBD		no direction
Colanic Acid Building Blocks Biosynthesis	0	0	0.429	GPI, MPI, UGDH		no direction
Communication between Innate and Adaptive Immune Cells	0	0	0.441	B2M, CCL5, CD3G, CD80, CXCL10, HLA-A, IL15, IL33, IL6, MR1, TLR1, TLR4, TLR5, TLR6, TNFRSF13C		no direction
Complement System	0	0.447	0.333	C1QBP, C2, C3, CFB, CFH		positive
Corticotropin Releasing Hormone Signaling	0	-0.378	0.41	ADCY5, ADCY8, ATF4, BDNF, CACNA1C, CACNA1H, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, Calm1 (includes others), CNR1, CREB3L2, CRHR2, GLI3, GNAI2, ITPR2, JUN, MAP2K1, MAPK12, MAPK14, MAPK3, MEF2A, MEF2C, MEF2D, NPR3, PRKACA, PRKAR1A, PRKAR2B, PRKCE, PRKCI, PRKCQ, PTGS2		negative
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	0	0	0.375	CDIPT, PIKFYVE, PLCD4		no direction
D-myo-inositol-5-phosphate Metabolism	0	-0.949	0.443	ATP1A1, ATP1A2, CA3, CDC25A, CILP, DUSP1, DUSP10, DUSP13, DUSP16, DUSP2, DUSP6, DUSP8, FIG4, HACD2, INPPL1, MDP1, MTMR6, NOCT, NUDT12, NUDT14, NUDT4, NUDT9, PGAM5, PIKFYVE, PLCD4, PLPP7, PPFIA1, PPFIBP2, PPIP5K1, PPM1J, PPP1R14C, PPP1R3A, PPP1R7, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, PPP3CA, PPP3CB, PPP3R1, PPP4C, PPP4R1, PPP5C, PRUNE1, PTPN11, PTPN12, RASA1, SIRPA, SOCS3, THTPA, WBP11		negative
DNA Double-Strand Break Repair by Homologous Recombination	0	0	0.286	ATRX, RPA1		no direction
Dendritic Cell Maturation	0	1.151	0.464	AKT1, AKT2, AKT3, ATF4, B2M, CD1D, CD3G, CD80, COL1A2, COL3A1, COL5A3, CREB3L2, HLA-A, IKBKB, IKBKG, IL15, IL33, IL6, LTB, MAPK12, MAPK14, MAPK3, MAPK8, MR1, MYD88, NFKB1, NFKBIA, NFKBIB, NGFR, PDIA3, PIK3CB, PIK3R1, PIK3R3, PLCD4, RELA, TLR4, TNFRSF11B, TNFRSF1B, TRAF6		positive
Dermatan Sulfate Biosynthesis	0	-0.577	0.429	CHPF, CHPF2, CHST10, CHST3, CSGALNACT2, DSE, HS2ST1, HS3ST3A1, HS3ST5, HS6ST1, NDST1, NDST4		negative
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	0	0	0.4	CCL5, IL17F		no direction
Dopamine Receptor Signaling	0	-1.342	0.356	ADCY5, ADCY8, MAOA, MAOB, PPM1J, PPP1R14C, PPP1R3A, PPP1R7, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, PRKACA, PRKAR1A, PRKAR2B, SMOX		negative
Dopamine-DARPP32 Feedback in cAMP Signaling	0	-0.686	0.43	ADCY5, ADCY8, ATF4, ATP2A1, ATP2A3, CACNA1C, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, Calm1 (includes others), CHP1, CREB3L2, CREM, CSNK1A1, CSNK1E, GNAI2, GRIN1, GRIN2A, GRINA, ITPR2, KCNJ2, PDIA3, PLCD4, PPM1J, PPP1R14C, PPP1R3A, PPP1R7, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, PPP3CA, PPP3CB, PPP3R1, PRKACA, PRKAR1A, PRKAR2B, PRKCE, PRKCI, PRKCQ, PRKG1		negative
EIF2 Signaling	0	0	0.367	ACTA1, ACTA2, ACTB, ACTC1, AGO2, AGO4, AKT1, AKT2, AKT3, ATF3, ATF4, ATF5, CCND1, DDIT3, EIF2AK1, EIF2AK2, EIF2B2, EIF2B4, EIF3D, EIF3E, EIF3F, EIF3M, EIF4G3, EIF5B, HRAS, INSR, KRAS, MAP2K1, MAPK3, MRAS, NRAS, PAIP1, PDPK1, PIK3CB, PIK3R1, PIK3R3, RALA, RPL10A, RPL15, RPL22, Rpl22l1, RPL8, RPS27L, RPS5, RPS7, RRAS, SREBF1		no direction
Endothelin-1 Signaling	0	0.16	0.396	ADCY5, ADCY8, CASP2, CASP3, CASQ1, EDN1, GNA13, GNAI2, GNAL, HRAS, ITPR2, JUN, KRAS, MAPK12, MAPK14, MAPK3, MAPK7, MAPK8, MRAS, NRAS, PDIA3, PIK3CB, PIK3R1, PIK3R3, PLA2G3, PLA2G4A, PLA2G4E, PLA2R1, PLAAT3, PLB1, PLCD4, PNPLA8, PRDX6, PRKCE, PRKCI, PRKCQ, PTGS2, RALA, RRAS, SHE		positive
Estrogen Biosynthesis	0	0	0.235	AKR1B10, CYP2U1, HSD17B4, POR		no direction
